N TIME
62646 2591495
41567 1854204
28502 1027324
47459 1838148
39379 653826
10174 490754
35807 686853
27188 484893
24046 1419314
7351 99625
10435 280705
25285 773746
4901 229225
32095 2117530
27633 1553837
17061 391232
32125 975299
15658 203363
22671 1435665
34982 1912109
53367 2621889
13454 51899
57668 2491934
63285 3850933
17878 313642
35451 2439251
52013 511580
13133 504781
60129 3381733
45557 1560360
25110 1775074
43597 900344
59109 3453760
25603 103998
28246 1078263
20367 718052
33244 1135180
19247 29380
43054 2119592
1020 72795
54762 1186324
18493 213610
58171 618759
24273 1851938
35367 2590404
19627 906323
3224 101329
36499 1586784
30983 138883
61873 1340627
32027 1829604
8960 474356
40136 1175928
65521 3745604
1736 60305
29801 149518
25933 2012871
43791 2900155
46878 2553448
40332 2363299
63854 1139880
63803 2569325
6033 381135
50562 3694819
13469 92730
63858 2242361
56034 593082
16388 1021725
62293 4019427
25076 545197
35880 509648
6729 524076
342 21722
47086 81139
33032 1400440
60317 776766
36611 2567791
11752 147969
34166 505487
64207 1268826
48099 1267968
8459 422716
50611 264441
25751 20560
20864 973318
54023 2243447
58398 150560
9627 586461
42565 318962
19308 927915
15901 1055588
36184 302473
20026 157207
44136 596852
35667 791245
28728 791863
46229 1221897
44035 750539
12851 260984
41987 383958
53817 1735662
47854 2622247
19285 951522
33368 2249264
20741 733550
22463 1141131
18946 985136
14224 141752
50139 668688
59595 1642716
13344 231798
34448 825103
8596 469687
9253 679083
38994 1791986
52353 918464
13759 497018
12470 403795
10772 341842
19661 1397400
12982 13053
17504 825231
23021 898648
14989 738356
55346 11083
25885 1867746
62380 2875290
61962 4721401
12264 108107
3948 151341
18464 504552
6979 168802
12381 528308
39638 239122
62398 4116942
30348 100267
26376 1089466
39865 891026
5364 65617
47742 1294399
27333 1132557
30308 579768
22004 1448557
24418 1756822
60968 4709166
64474 4230329
37189 627546
34186 1358166
47167 950168
20842 1508453
41678 1101177
59382 2203804
33080 2101919
59165 3232674
16075 777761
13126 35534
3772 140322
4177 197119
26464 1166323
34546 481015
60968 276204
14272 981450
53479 1227846
64955 1008594
32826 126408
22633 79545
29618 2055249
35356 1862106
24164 1879369
2855 197181
63597 2158919
56963 292124
48810 3321074
26704 99854
54211 3947290
31176 1684875
8429 386165
59754 1381910
11572 208777
59803 420317
8303 253162
543 6537
58531 3734299
34661 2630943
34674 2703636
53279 643071
17180 477126
2968 164230
41414 1100693
52388 3745654
14444 764216
63441 4294574
29081 675500
50187 3144101
21709 1602313
17695 1346653
57735 4129553
23807 51268
16668 441854
58875 1217819
43769 1728281
4416 295176
62721 3045407
10041 141195
34216 1118924
60729 1376575
31865 436487
45546 1097151
6642 224955
21243 878105
2347 124765
12317 391572
52859 1808329
62401 1809013
27415 437808
31474 2181266
26319 2058267
63191 2522820
809 22130
1121 22678
36260 2212110
17520 398314
33845 2156994
34176 1345763
17785 833368
24597 1094651
27209 556202
5913 321698
48277 1317881
25013 413942
7441 111858
21436 1645327
42356 220604
3299 112401
